Name,From,To,Pos,Height,Weight,Birth Date,Colleges,Retired
Jack Smiley,1949,1950,F-G,6-3,190,"December 22, 1922",Illinois,1
Adrian Smith,1962,1972,G,6-1,180,"October 5, 1936","Northeast Mississippi Community College, Kentucky",1
Al Smith,1972,1976,G,6-1,185,"January 15, 1947",Bradley,1
Bill Smith,1962,1962,G-F,6-5,190,"April 26, 1939",Saint Peter's College,1
Bingo Smith,1970,1980,F-G,6-5,195,"February 26, 1946",Tulsa,1
Bobby Smith,1960,1962,G,6-4,190,"August 20, 1937",West Virginia,1
Charles Smith,1989,1997,F-C,6-10,230,"July 16, 1965",Pitt,1
Charles Smith,1990,1996,G,6-1,160,"November 29, 1967",Georgetown,1
Charles Smith,1998,2006,G,6-4,194,"August 22, 1975",New Mexico,1
Chris Smith,1993,1995,G,6-3,190,"May 17, 1970",UConn,1
Chris Smith,2014,2014,G,6-2,200,"October 13, 1987","Manhattan College, Louisville",1
Clinton Smith,1987,1991,F,6-6,210,"January 19, 1964","Ohio State, Cleveland State University",1
Craig Smith,2007,2012,F,6-7,250,"November 10, 1983",Boston College,1
Deb Smith,1947,1947,F,6-3,180,"January 7, 1920",Utah,1
Dennis Smith Jr.,2018,2024,G,6-2,205,"November 25, 1997",NC State,0
Derek Smith,1983,1991,G-F,6-6,205,"November 1, 1961",Louisville,1
Don Smith,1949,1949,G-F,6-2,190,"July 27, 1920",Minnesota,1
Don Smith,1975,1975,G,6-0,160,"October 10, 1951",Dayton,1
Donta Smith,2005,2006,G-F,6-7,215,"November 27, 1983",Southeastern Illinois College,1
Doug Smith,1992,1996,F,6-10,220,"September 17, 1969",Missouri,1
Dru Smith,2023,2025,G,6-3,203,"December 30, 1997","University of Evansville, Missouri",0
Ed Smith,1954,1954,F,6-6,180,"July 5, 1929",Harvard University,1
Elmore Smith,1972,1979,C,7-0,250,"May 9, 1949",Kentucky State University,1
Garfield Smith,1971,1973,C-F,6-9,235,"November 18, 1945",Eastern Kentucky University,1
Greg Smith,1969,1976,F,6-5,195,"January 28, 1947",Western Kentucky,1
Greg Smith,2012,2016,C,6-10,250,"January 8, 1991",Fresno State,1
Ish Smith,2011,2024,G,6-0,175,"July 5, 1988",Wake Forest,0
J.R. Smith,2005,2020,G-F,6-6,225,"September 9, 1985",North Carolina A&T,1
Jabari Smith,2001,2005,C,6-11,250,"February 12, 1977",LSU,1
Jabari Smith Jr.,2023,2025,F,6-11,220,"May 13, 2003",Auburn,0
Jalen Smith,2021,2025,F,6-10,215,"March 16, 2000",Maryland,0
Jason Smith,2008,2019,F-C,7-0,240,"March 2, 1986",Colorado State,1
Jerry Smith,2012,2012,G,6-2,190,"September 26, 1987",Louisville,1
Jim Smith,1982,1983,F,6-9,225,"April 12, 1958",Ohio State,1
Joe Smith,1996,2011,F,6-10,225,"July 26, 1975",Maryland,1
John Smith,1969,1970,C,7-0,235,"May 24, 1944",University of Southern Colorado,1
Josh Smith,2005,2018,F,6-9,225,"December 5, 1985",,1
Keith Smith,1987,1987,G,6-3,180,"March 9, 1964",Loyola Marymount,1
Ken Smith,1976,1976,F,6-7,185,"July 12, 1953","Lon Morris College, Tulsa",1
Kenny Smith,1988,1997,G,6-3,170,"March 8, 1965",UNC,1
LaBradford Smith,1992,1994,G,6-3,200,"April 3, 1969",Louisville,1
Larry Smith,1981,1993,F-C,6-8,215,"January 18, 1958",Alcorn State,1
Leon Smith,2002,2004,C,6-10,235,"November 2, 1980",,1
Michael Smith,1990,1995,F,6-10,225,"May 19, 1965",BYU,1
Michael Smith,1995,2001,F,6-8,230,"March 28, 1972",Providence,1
Mike Smith,2001,2001,F,6-8,195,"April 15, 1976",Louisiana-Monroe,1
Nick Smith Jr.,2024,2025,G,6-5,185,"April 18, 2004",Arkansas,0
Nolan Smith,2012,2013,G,6-2,185,"July 25, 1988",Duke,1
Otis Smith,1987,1992,G-F,6-5,210,"January 30, 1964",Jacksonville University,1
Pete Smith,1973,1973,F,6-6,205,,Valdosta State University,1
Phil Smith,1975,1983,G,6-4,185,"April 22, 1952",San Francisco,1
Randy Smith,1972,1983,G-F,6-3,180,"December 12, 1948",Buffalo State,1
Reggie Smith,1993,1994,C,6-10,240,"August 21, 1970",TCU,1
Robert Smith,1978,1985,G,5-11,165,"March 10, 1955",UNLV,1
Russ Smith,2015,2016,G,6-0,165,"April 19, 1991",Louisville,1
Sam Smith,1968,1971,F,6-7,230,"January 27, 1944","Louisville, Kentucky Wesleyan College",1
Sam Smith,1979,1980,G,6-4,200,"January 8, 1955",UNLV,1
Steve Smith,1992,2005,G,6-8,200,"March 31, 1969",Michigan State,1
Steven Smith,2007,2007,F,6-8,235,"April 12, 1983",La Salle,1
Stevin Smith,1997,1997,G,6-2,208,"January 24, 1972",Arizona State,1
Terquavion Smith,2024,2024,G,6-4,165,"December 31, 2002",NC State,0
Theron Smith,2004,2005,F,6-8,225,"October 3, 1980",Ball State University,1
Tony Smith,1991,2001,G,6-3,185,"June 14, 1968",Marquette,1
Tyler Smith,2025,2025,F,6-11,224,"November 2, 2004",,0
William Smith,1972,1973,C,7-0,220,"February 14, 1949",Syracuse,1
Willie Smith,1977,1980,G,6-2,170,"October 26, 1953",Missouri,1
Zhaire Smith,2019,2020,G,6-3,205,"June 4, 1999",Texas Tech,0
Rik Smits,1989,2000,C,7-4,250,"August 23, 1966",Marist College,1
Mike Smrek,1986,1992,C,7-0,250,"August 31, 1962",Canisius,1
Joe Smyth,1954,1954,F,6-3,215,"May 22, 1929",Niagara University,1
Xavier Sneed,2022,2023,F,6-5,215,"December 21, 1997",Kansas State,0
Tony Snell,2014,2022,G-F,6-6,213,"November 10, 1991",New Mexico,1
Eric Snow,1996,2008,G,6-3,190,"April 24, 1973",Michigan State,1
Dick Snyder,1967,1979,G-F,6-5,207,"February 1, 1944",Davidson,1
Kirk Snyder,2005,2008,G,6-6,225,"June 5, 1983",Nevada,1
Chips Sobek,1950,1950,G-F,6-0,180,"February 10, 1920",Notre Dame,1
Ricky Sobers,1976,1986,G,6-3,198,"January 15, 1953",UNLV,1
Ron Sobie,1957,1960,G,6-3,185,"September 21, 1934",DePaul,1
Jeremy Sochan,2023,2025,F-G,6-8,230,"May 20, 2003",Baylor,0
Mike Sojourner,1975,1977,C-F,6-9,225,"October 16, 1953",Utah,1
Willie Sojourner,1972,1975,C-F,6-8,225,"September 10, 1948",Weber State,1
Will Solomon,2002,2009,G,6-1,185,"July 20, 1978",Clemson,1
Willie Somerset,1966,1969,G,5-8,170,"March 17, 1942",Duquesne,1
Darius Songaila,2004,2011,F,6-9,248,"February 14, 1978",Wake Forest,1
Dave Sorenson,1971,1973,F,6-8,225,"July 8, 1948",Ohio State,1
James Southerland,2014,2014,F,6-8,215,"April 28, 1990",Syracuse,1
Gino Sovran,1947,1947,F-G,6-2,175,"December 17, 1924",Detroit Mercy,1
Pape Sow,2005,2007,F,6-10,250,"November 22, 1981",Cal State Fullerton,1
Ken Spain,1971,1971,C,6-9,225,"October 6, 1946",Houston,1
Ray Spalding,2019,2021,F,6-10,215,"March 11, 1997",Louisville,0
Jim Spanarkel,1980,1984,G-F,6-5,190,"June 28, 1957",Duke,1
Vassilis Spanoulis,2007,2007,G,6-4,195,"August 7, 1982",,1
Dan Sparks,1969,1970,F,6-8,200,"April 17, 1945","Vincennes University, Weber State",1
Guy Sparrow,1958,1960,F,6-6,218,"November 2, 1932",Detroit Mercy,1
Rory Sparrow,1981,1992,G,6-2,175,"June 12, 1958",Villanova,1
Odie Spears,1949,1957,G,6-5,205,"June 17, 1924",Western Kentucky,1
Art Spector,1947,1950,F,6-4,200,"October 17, 1918",Villanova,1
Marreese Speights,2009,2018,C-F,6-10,255,"August 4, 1987",Florida,1
Omari Spellman,2019,2020,F,6-8,245,"July 21, 1997",Villanova,0
Andre Spencer,1993,1994,F,6-6,210,"July 20, 1964",Northern Arizona University,1
Cam Spencer,2025,2025,G,6-3,205,"April 6, 2000","Loyola (MD), Rutgers University, UConn",0
Elmore Spencer,1993,1997,C,7-0,270,"December 6, 1969","Georgia, UNLV",1
Felton Spencer,1991,2002,C,7-0,265,"January 15, 1968",Louisville,1
Pat Spencer,2024,2025,G,6-3,205,"July 4, 1996","Loyola (MD), Northwestern",0
Lou Spicer,1947,1947,F,6-2,195,"November 12, 1922",Syracuse,1
Craig Spitzer,1968,1968,C,7-0,225,"December 18, 1945",Tulane,1
Tiago Splitter,2011,2017,F-C,6-11,245,"January 1, 1985",,1
Art Spoelstra,1955,1958,C,6-9,220,"September 11, 1932",Western Kentucky,1
Bruce Spraggins,1968,1968,F,6-5,188,"August 31, 1939",Virginia Union University,1
Latrell Sprewell,1993,2005,G,6-5,190,"September 8, 1970","Three Rivers Community College, Alabama",1
Larry Spriggs,1982,1986,F,6-7,230,"September 8, 1959",Howard University,1
Jaden Springer,2022,2025,G,6-4,204,"September 25, 2002",Tennessee,0
Jim Springer,1949,1949,C,6-9,235,"June 17, 1926",,1
Jim Spruill,1949,1949,G,6-2,225,"February 26, 1923",Rice University,1
Ryan Stack,1999,2000,F,6-11,215,"July 24, 1975",South Carolina,1
Jerry Stackhouse,1996,2013,G-F,6-6,218,"November 5, 1974",UNC,1
Kevin Stacom,1975,1982,G,6-3,185,"September 4, 1951","Holy Cross, Providence",1
Erv Staggs,1970,1970,F-G,6-6,195,"September 1, 1948","North Carolina A&T, Cheyney (PA)",1
Bud Stallworth,1973,1977,F-G,6-5,190,"January 18, 1950",Kansas,1
Dave Stallworth,1966,1975,F-C,6-7,200,"December 20, 1941",Wichita State,1
Ed Stanczak,1950,1951,F,6-1,185,"August 15, 1921",,1
Cassius Stanley,2021,2022,G,6-5,190,"August 18, 1999",Duke,0
Terence Stansbury,1985,1987,G,6-5,170,"February 27, 1961",Temple,1
John Starks,1989,2002,G,6-5,180,"August 10, 1965","Northern Oklahoma College, Oklahoma Junior College, Oklahoma State",1
Keith Starr,1977,1977,G-F,6-6,190,"March 14, 1954",Pitt,1
Nik Stauskas,2015,2022,G,6-6,205,"October 7, 1993",Michigan,0
Larry Staverman,1959,1964,F,6-7,205,"October 11, 1936",Thomas More College,1
Larry Steele,1972,1980,G-F,6-5,180,"May 5, 1949",Kentucky,1
Matt Steigenga,1997,1997,F,6-7,225,"March 27, 1970",Michigan State,1
Vladimir Stepania,1999,2004,C,7-0,236,"May 8, 1976",,1
D.J. Stephens,2014,2019,G-F,6-5,188,"December 19, 1990",Memphis,1
Everette Stephens,1989,1991,G,6-2,175,"October 21, 1966",Purdue,1
Jack Stephens,1956,1956,G-F,6-3,185,"May 18, 1933",Notre Dame,1
Joe Stephens,1997,2000,F,6-7,210,"January 28, 1973","Colorado, Little Rock",1
Lance Stephenson,2011,2022,G-F,6-6,230,"September 5, 1990",Cincinnati,1
Alex Stepheson,2016,2016,F,6-10,270,"August 7, 1987","UNC, USC",1
Brook Steppe,1983,1989,G-F,6-5,195,"November 7, 1959",Georgia Tech,1
Barry Stevens,1993,1993,G-F,6-5,195,"January 17, 1963",Iowa State,1
Lamar Stevens,2021,2024,F,6-6,230,"July 9, 1997",Penn State,0
Wayne Stevens,1960,1960,F,6-3,185,"June 19, 1936",Cincinnati,1
DeShawn Stevenson,2001,2013,G,6-5,210,"April 3, 1981",,1
Dennis Stewart,1971,1971,F,6-6,220,"April 11, 1947",Michigan,1
Isaiah Stewart,2021,2025,F-C,6-8,250,"May 22, 2001",Washington,0
Kebu Stewart,1998,1998,F,6-8,239,"December 19, 1973","UNLV, Cal State-Bakersfield",1
Larry Stewart,1992,1997,F,6-8,220,"September 21, 1968",Coppin State University,1
Michael Stewart,1998,2005,C,6-10,230,"April 25, 1975",California,1
Norm Stewart,1957,1957,F,6-5,205,"January 20, 1935",Missouri,1
Greg Stiemsma,2012,2015,C,6-11,260,"September 26, 1985",Wisconsin,1
Steve Stipanovich,1984,1988,C,6-11,245,"November 17, 1960",Missouri,1
Bryant Stith,1993,2002,G,6-5,208,"December 10, 1970",Virginia,1
Sam Stith,1962,1962,G,6-2,185,"July 22, 1937",St. Bonaventure,1
Tom Stith,1963,1963,F,6-5,210,"January 21, 1939",St. Bonaventure,1
Alex Stivrins,1986,1993,F,6-8,220,"November 29, 1962","Creighton, Colorado",1
David Stockton,2015,2018,G,5-11,165,"June 24, 1991",Gonzaga,1
John Stockton,1985,2003,G,6-1,170,"March 26, 1962",Gonzaga,1
Peja Stojaković,1999,2011,F,6-10,229,"June 9, 1977",,1
Ed Stokes,1998,1998,C,7-0,264,"September 3, 1971",Arizona,1
Greg Stokes,1986,1990,F-C,6-10,220,"August 5, 1963",Iowa,1
Jarnell Stokes,2015,2017,F-C,6-9,263,"January 7, 1994",Tennessee,1
Maurice Stokes,1956,1958,F-C,6-7,232,"June 17, 1933",Saint Francis University,1
Art Stolkey,1947,1947,G,6-1,180,"October 23, 1920",Detroit Mercy,1
Randy Stoll,1968,1968,C,6-7,235,,Washington State,1
Diamond Stone,2017,2017,C,6-11,255,"February 10, 1997",Maryland,1
George Stone,1969,1972,F,6-7,195,"February 9, 1946",Marshall,1
Julyan Stone,2012,2018,G,6-6,200,"December 7, 1988",Texas-El Paso,1
Awvee Storey,2005,2008,G-F,6-6,222,"April 18, 1977","Illinois, Arizona State",1
Damon Stoudamire,1996,2008,G,5-10,171,"September 3, 1973",Arizona,1
Salim Stoudamire,2006,2008,G,6-1,179,"October 11, 1982",Arizona,1
Amar'e Stoudemire,2003,2016,F-C,6-10,245,"November 16, 1982",,1
Paul Stovall,1973,1974,F,6-4,215,"August 16, 1948","Pratt Community College, Arizona State",1
D.J. Strawberry,2008,2008,G,6-5,201,"June 15, 1985",Maryland,1
Joe Strawder,1966,1968,C,6-10,235,"September 21, 1940",Bradley,1
Julian Strawther,2024,2025,F,6-7,205,"April 18, 2002",Gonzaga,0
Bill Stricker,1971,1971,F,6-9,210,"January 22, 1948",University of the Pacific,1
Erick Strickland,1997,2005,G,6-3,210,"November 25, 1973",Nebraska,1
Mark Strickland,1995,2003,F,6-9,210,"July 14, 1970",Temple,1
Rod Strickland,1989,2005,G,6-3,175,"July 11, 1966",DePaul,1
Roger Strickland,1964,1964,F,6-5,200,"September 4, 1940",Jacksonville University,1
John Stroeder,1988,1989,F,6-10,260,"July 24, 1958",Montana,1
Derek Strong,1992,2001,F,6-8,220,"February 9, 1968",Xavier,1
Lamont Strothers,1992,1993,G,6-4,190,"May 10, 1968",Christopher Newport University,1
John Stroud,1981,1981,F,6-7,215,"October 29, 1957",Ole Miss,1
Red Stroud,1968,1968,G,6-0,160,"May 2, 1941",Mississippi State,1
Max Strus,2020,2025,G,6-5,215,"March 28, 1996","Lewis (IL), DePaul",0
Rodney Stuckey,2008,2017,G,6-5,210,"April 21, 1986",Eastern Washington,1
Gene Stump,1948,1950,F-G,6-2,185,"August 9, 1925",DePaul,1
Stan Stutz,1947,1949,G-F,5-10,170,"April 14, 1920",Rhode Island,1
Jalen Suggs,2022,2025,G,6-5,205,"June 3, 2001",Gonzaga,0
Gary Suiter,1971,1971,C-F,6-9,225,"January 18, 1945",Midwestern State University,1
Jared Sullinger,2013,2017,F,6-9,260,"March 4, 1992",Ohio State,1
DaJuan Summers,2010,2013,F,6-8,230,"January 24, 1988",Georgetown,1
Edmond Sumner,2018,2023,G,6-4,196,"December 31, 1995",Xavier,0
Barry Sumpter,1989,1989,F-C,6-11,215,"November 11, 1965","Louisville, Austin Peay State University",1
Don Sunderlage,1954,1955,G,6-1,180,"December 20, 1929",Illinois,1
Bruno Šundov,1999,2005,C,7-2,220,"February 10, 1980",,1
Jon Sundvold,1984,1992,G,6-2,170,"July 2, 1961",Missouri,1
Bob Sura,1996,2005,G,6-5,200,"March 25, 1973",Florida State,1
Dick Surhoff,1953,1954,F,6-4,210,"November 16, 1929",Long Island University,1
George Sutor,1968,1970,C,6-8,235,"September 14, 1943",La Salle,1
Dane Suttle,1984,1985,G,6-3,190,"August 9, 1961",Pepperdine,1
Greg Sutton,1992,1996,G,6-2,170,"December 3, 1967",Oral Roberts,1
Keith Swagerty,1969,1970,F,6-7,235,"October 30, 1945",University of the Pacific,1
Bennie Swain,1959,1959,F,6-8,220,"December 16, 1933",Texas Southern,1
Caleb Swanigan,2018,2020,F,6-9,260,"April 18, 1997",Purdue,1
Norm Swanson,1954,1954,F,6-6,210,"October 4, 1930",Detroit Mercy,1
Dan Swartz,1963,1963,F,6-4,215,"December 23, 1934",Morehead State University,1
Mike Sweetney,2004,2007,F,6-8,275,"October 25, 1982",Georgetown,1
Cole Swider,2023,2025,F,6-9,220,"May 8, 1999","Villanova, Syracuse",0
Robert Swift,2005,2009,C,7-0,245,"December 3, 1985",,1
Skeeter Swift,1970,1974,G,6-3,204,"June 19, 1946",East Tennessee State University,1
Stromile Swift,2001,2009,F,6-9,225,"November 21, 1979",LSU,1
Aaron Swinson,1995,1995,F,6-5,230,"January 9, 1971",Auburn,1
Craig Sword,2022,2022,G,6-3,196,"January 16, 1994",Mississippi State,0
Pape Sy,2011,2011,F,6-7,225,"April 5, 1988",,1
Buck Sydnor,1947,1947,G,5-10,175,"September 19, 1921",Western Kentucky,1
Keifer Sykes,2022,2022,G,6-0,180,"December 30, 1993",Green Bay,0
Larry Sykes,1996,1996,F,6-9,255,"April 11, 1973",Xavier,1
Brett Szabo,1997,1997,C,6-11,230,"February 1, 1968",Augustana College (SD),1
Wally Szczerbiak,2000,2009,F,6-7,244,"March 5, 1977",Miami University,1
Walt Szczerbiak,1972,1972,F,6-6,210,"August 21, 1949",George Washington,1
Žan Tabak,1995,2001,C,7-0,245,"June 15, 1970",,1
Yuta Tabuse,2005,2005,G,5-9,165,"October 5, 1980",Brigham Young University Hawaii,1
Chris Taft,2006,2006,F,6-10,260,"March 10, 1985",Pitt,1
Sid Tanenbaum,1948,1949,G,6-0,160,"October 8, 1925",NYU,1
Dragan Tarlać,2001,2001,C,6-10,260,"May 9, 1973",,1
Roy Tarpley,1987,1995,C-F,6-11,230,"November 28, 1964",Michigan,1
Levern Tart,1968,1971,G-F,6-2,195,"June 1, 1942",Bradley,1
Jae'Sean Tate,2021,2025,F,6-4,230,"October 28, 1995",Ohio State,0
Earl Tatum,1977,1980,G-F,6-5,185,"July 26, 1953",Marquette,1
Jayson Tatum,2018,2025,F,6-8,210,"March 3, 1998",Duke,0
Edy Tavares,2016,2017,C,7-3,260,"March 22, 1992",,1
Anthony Taylor,1989,1989,G,6-4,175,"November 30, 1965",Oregon,1
Brian Taylor,1973,1982,G,6-2,185,"June 9, 1951",Princeton,1
Donell Taylor,2006,2007,G,6-6,180,"July 26, 1982","Okaloosa-Walton Community College, UAB",1
Fatty Taylor,1970,1977,G,6-0,175,"March 13, 1946","Dodge City Community College, La Salle",1
Fred Taylor,1971,1972,G-F,6-5,180,"February 5, 1948",University of Texas Rio Grande Valley,1
Isaiah Taylor,2017,2018,G,6-3,170,"July 11, 1994",Texas,1
Jay Taylor,1990,1990,G,6-3,190,"October 3, 1967",Eastern Illinois University,1
Jeff Taylor,1983,1987,G,6-4,175,"January 1, 1960",Texas Tech,1
Jeff Taylor,2013,2015,F,6-7,225,"May 23, 1989",Vanderbilt,1
Jermaine Taylor,2010,2011,G,6-4,210,"December 8, 1986",Central Florida,1
Johnny Taylor,1998,2000,F,6-9,220,"June 4, 1974","Indian Hills Community College, Chattanooga",1
Leonard Taylor,1990,1990,F,6-8,220,"May 2, 1966",California,1
Maurice Taylor,1998,2007,F,6-9,260,"October 30, 1976","Michigan, LSU",1
Mike Taylor,2009,2009,G,6-2,165,"January 21, 1986","Chipola College, Iowa State",1
Ollie Taylor,1971,1974,G-F,6-2,194,"March 7, 1947","San Jacinto College, Houston",1
Ron Taylor,1970,1972,C,7-1,265,"November 21, 1947",USC,1
Terry Taylor,2022,2024,G-F,6-5,230,"September 23, 1999",Austin Peay State University,0
Tyshawn Taylor,2013,2014,G,6-3,185,"April 12, 1990",Kansas,1
Vince Taylor,1983,1983,G-F,6-5,180,"September 11, 1960",Duke,1
Terry Teagle,1983,1993,F-G,6-5,195,"April 10, 1960",Baylor,1
Jeff Teague,2010,2021,G,6-3,195,"June 10, 1988",Wake Forest,1
Marquis Teague,2013,2018,G,6-2,189,"February 28, 1993",Kentucky,1
Mirza Teletović,2013,2018,F,6-9,242,"September 18, 1985",,1
Sebastian Telfair,2005,2015,G,6-0,165,"June 9, 1985",,1
Collis Temple,1975,1975,F,6-8,220,"November 8, 1952",LSU,1
Garrett Temple,2010,2025,G,6-5,195,"May 8, 1986",LSU,0
Miloš Teodosić,2018,2019,G,6-5,196,"March 19, 1987",,1
Ira Terrell,1977,1979,F-C,6-8,200,"June 19, 1954",SMU,1
Jared Terrell,2019,2019,G,6-3,227,"February 10, 1995",Rhode Island,1
Carlos Terry,1981,1983,G-F,6-5,210,"June 22, 1956",Winston-Salem State,1
Chuck Terry,1973,1977,F,6-6,215,"September 27, 1950",Cal State Long Beach,1
Claude Terry,1973,1978,G-F,6-4,195,"January 12, 1950",Stanford,1
Dalen Terry,2023,2025,G,6-7,195,"July 12, 2002",Arizona,0
Emanuel Terry,2019,2022,F,6-9,220,"August 21, 1996",Lincoln Memorial,1
Jason Terry,2000,2018,G,6-2,185,"September 15, 1977",Arizona,1
Tyrell Terry,2021,2022,G,6-2,160,"September 28, 2000",Stanford,0
Jon Teske,2022,2022,C,7-1,265,"May 4, 1997",Michigan,1
Hasheem Thabeet,2010,2014,C,7-3,263,"February 16, 1987",UConn,1
Tom Thacker,1964,1971,G-F,6-2,170,"November 2, 1939",Cincinnati,1
Floyd Theard,1970,1970,G,6-1,170,"September 5, 1944",Kentucky State University,1
Daniel Theis,2018,2025,C,6-8,245,"April 4, 1992",,0
Reggie Theus,1979,1991,G,6-6,190,"October 13, 1957",UNLV,1
Peter Thibeaux,1985,1986,F,6-7,210,"October 3, 1961",Saint Mary's,1
Bill Thieben,1957,1958,F-C,6-7,215,"March 28, 1935",Hofstra,1
Justus Thigpen,1970,1974,G,6-1,160,"August 13, 1947","Mott Community College, Weber State",1
David Thirdkill,1983,1987,F-G,6-7,195,"April 12, 1960",Bradley,1
Adonis Thomas,2014,2014,F,6-7,200,"March 25, 1993",Memphis,1
Billy Thomas,2005,2008,G,6-4,208,"December 23, 1975",Kansas,1
Brodric Thomas,2021,2022,G,6-5,185,"January 28, 1997",Truman State University,0
Cam Thomas,2022,2025,G,6-4,210,"October 13, 2001",LSU,0
Carl Thomas,1992,1998,G,6-4,175,"October 3, 1969",Eastern Michigan,1
Charles Thomas,1992,1992,G,6-3,175,"October 3, 1969",Eastern Michigan,1
Etan Thomas,2002,2011,F,6-9,256,"April 1, 1978",Syracuse,1
Irving Thomas,1991,1991,F,6-8,225,"January 2, 1966","Kentucky, Florida State",1
Isaiah Thomas,2012,2024,G,5-9,185,"February 7, 1989",Washington,0
Isiah Thomas,1982,1994,G,6-1,180,"April 30, 1961",Indiana,1
Jamel Thomas,2000,2001,F,6-6,215,"March 25, 1973",Providence,1
James Thomas,2005,2006,F,6-8,235,"November 22, 1980",Texas,1
Jim Thomas,1984,1991,G,6-3,190,"October 19, 1960",Indiana,1
Joe Thomas,1971,1971,F,6-6,205,"March 9, 1948",Marquette,1
John Thomas,1998,2006,F,6-9,265,"September 8, 1975",Minnesota,1
Kenny Thomas,2000,2010,F,6-7,261,"July 25, 1977",New Mexico,1
Khyri Thomas,2019,2021,G,6-3,210,"May 8, 1996",Creighton,0
Kurt Thomas,1996,2013,F,6-9,230,"October 4, 1972",TCU,1
Lance Thomas,2012,2020,F,6-8,240,"April 24, 1988",Duke,1
Malcolm Thomas,2012,2015,F,6-9,225,"November 8, 1988","Pepperdine, San Diego State",1
Matt Thomas,2020,2022,G,6-4,190,"August 4, 1994",Iowa State,1
Ron Thomas,1973,1976,F,6-6,215,"November 19, 1950","Trinity Valley CC, Louisville",1
Terry Thomas,1976,1976,F,6-8,220,"August 20, 1953",Detroit Mercy,1
Tim Thomas,1998,2010,F,6-10,230,"February 26, 1977",Villanova,1
Tyrus Thomas,2007,2015,F,6-9,215,"August 17, 1986",LSU,1
Willis Thomas,1968,1968,G,6-2,185,,Harbor College,1
Trey Thompkins,2012,2012,F,6-10,245,"May 20, 1990",Georgia,1
Amen Thompson,2024,2025,G,6-7,209,"January 30, 2003",,0
Ausar Thompson,2024,2025,G,6-7,215,"January 30, 2003",,0
Bernard Thompson,1985,1989,F-G,6-6,210,"August 30, 1962",Fresno State,1
Billy Thompson,1987,1992,F,6-7,195,"December 1, 1963",Louisville,1
Brooks Thompson,1995,1998,G,6-4,193,"July 19, 1970","Texas A&M, Oklahoma State",1
Corny Thompson,1983,1983,F,6-8,225,"February 5, 1960",UConn,1
David Thompson,1976,1984,G-F,6-4,195,"July 13, 1954",NC State,1
Dijon Thompson,2006,2007,G-F,6-7,195,"February 23, 1983",UCLA,1
George Thompson,1970,1975,G,6-2,200,"November 29, 1947",Marquette,1
Hollis Thompson,2014,2017,G-F,6-8,206,"April 3, 1991",Georgetown,1
Jack Thompson,1969,1969,G,6-1,185,"March 26, 1946",South Carolina,1
Jason Thompson,2009,2016,F-C,6-11,250,"July 21, 1986",Rider University,1
John Thompson,1965,1966,F,6-10,225,"September 2, 1941",Providence,1
Kevin Thompson,1994,1994,C-F,6-11,260,"February 7, 1971",NC State,1
Klay Thompson,2012,2025,G-F,6-5,215,"February 8, 1990",Washington State,0
LaSalle Thompson,1983,1997,C-F,6-10,245,"June 23, 1961",Texas,1
Mychal Thompson,1979,1991,C-F,6-10,226,"January 30, 1955",Minnesota,1
Mychel Thompson,2012,2012,G,6-6,211,"June 1, 1988",Pepperdine,1
Paul Thompson,1984,1986,G-F,6-6,210,"May 25, 1961",Tulane,1
Stephen Thompson,1992,1992,G,6-4,185,"December 2, 1968",Syracuse,1
Tristan Thompson,2012,2025,F-C,6-9,254,"March 13, 1991",Texas,0
JT Thor,2022,2025,F,6-10,205,"August 26, 2002",Auburn,0
Skip Thoren,1968,1970,C,6-10,230,"April 5, 1943",Illinois,1
Rod Thorn,1964,1971,G,6-4,195,"May 23, 1941",West Virginia,1
Al Thornton,2008,2011,F,6-8,220,"December 7, 1983",Florida State,1
Bob Thornton,1986,1996,F-C,6-10,225,"July 10, 1962","University of California, Irvine",1
Dallas Thornton,1969,1970,G,6-4,190,"September 1, 1946",Kentucky Wesleyan College,1
Marcus Thornton,2010,2017,G,6-4,205,"June 5, 1987",LSU,1
Sindarius Thornwell,2018,2021,G,6-4,215,"November 15, 1994",South Carolina,1
Otis Thorpe,1985,2001,F-C,6-10,248,"August 5, 1962",Providence,1
Sedale Threatt,1984,1997,G,6-2,175,"September 10, 1961",West Virginia Tech,1
Nate Thurmond,1964,1977,C-F,6-11,225,"July 25, 1941",Bowling Green,1
Mel Thurston,1948,1948,G,6-0,175,"January 16, 1919",Canisius,1
Matisse Thybulle,2020,2024,G,6-5,201,"March 4, 1997",Washington,0
Hal Tidrick,1949,1949,F-G,6-1,190,"April 4, 1915",Washington & Jefferson College,1
Dan Tieman,1963,1963,G,6-0,185,"November 30, 1940",Thomas More College,1
Killian Tillie,2021,2022,F,6-9,220,"March 5, 1998",Gonzaga,0
Darren Tillis,1983,1984,C-F,6-11,215,"February 23, 1960",Cleveland State University,1
Xavier Tillman Sr.,2021,2025,F,6-8,245,"January 12, 1999",Michigan State,0
Jack Tingle,1948,1949,F,6-4,205,"December 30, 1924",Kentucky,1
George Tinsley,1970,1972,F,6-5,205,"September 19, 1946",Kentucky Wesleyan College,1
Jamaal Tinsley,2002,2014,G,6-3,195,"February 28, 1978",Iowa State,1
Wayman Tisdale,1986,1997,F-C,6-9,240,"June 9, 1964",Oklahoma,1
Mike Tobey,2017,2017,C,7-0,260,"October 10, 1994",Virginia,1
