Player,#,Pos,Height,Weight,Birthdate,Age,Exp,School,How Acquired,Team Name,Player Link,Season
Maurice Harkless,#8,F-G,6-7,220 lbs,"MAY 11, 1993",29,9,"St. John's, N.Y.",,SACRAMENTO KINGS,https://www.nba.com/stats/player/203090/,2021-22
Justin Holiday,#9,F-G,6-6,180 lbs,"APR 05, 1989",33,8,Washington,,SACRAMENTO KINGS,https://www.nba.com/stats/player/203200/,2021-22
Domantas Sabonis,#10,F-C,6-11,240 lbs,"MAY 03, 1996",26,5,Gonzaga,Traded from IND on 02/08/22,SACRAMENTO KINGS,https://www.nba.com/stats/player/1627734/,2021-22
Davion Mitchell,#15,G,6-0,202 lbs,"SEP 05, 1998",23,R,Baylor,,SACRAMENTO KINGS,https://www.nba.com/stats/player/1630558/,2021-22
Richaun Holmes,#22,F,6-10,235 lbs,"OCT 15, 1993",28,6,Bowling Green,,SACRAMENTO KINGS,https://www.nba.com/stats/player/1626158/,2021-22
Alex Len,#25,C,7-0,250 lbs,"JUN 16, 1993",29,8,Maryland,Signed on 08/13/21,SACRAMENTO KINGS,https://www.nba.com/stats/player/203458/,2021-22
Jeremy Lamb,#26,G-F,6-5,180 lbs,"MAY 30, 1992",30,9,Connecticut,,SACRAMENTO KINGS,https://www.nba.com/stats/player/203087/,2021-22
Damian Jones,#30,C,6-11,245 lbs,"JUN 30, 1995",27,5,Vanderbilt,,SACRAMENTO KINGS,https://www.nba.com/stats/player/1627745/,2021-22
Harrison Barnes,#40,F,6-8,225 lbs,"MAY 30, 1992",30,9,North Carolina,,SACRAMENTO KINGS,https://www.nba.com/stats/player/203084/,2021-22
Trey Lyles,#41,F,6-9,234 lbs,"NOV 05, 1995",26,6,Kentucky,Traded from DET on 02/10/22,SACRAMENTO KINGS,https://www.nba.com/stats/player/1626168/,2021-22
Josh Jackson,#55,G-F,6-8,207 lbs,"FEB 10, 1997",25,4,Kansas,,SACRAMENTO KINGS,https://www.nba.com/stats/player/1628367/,2021-22
Neemias Queta,#88,C,7-0,248 lbs,"JUL 13, 1999",22,R,Utah State,,SACRAMENTO KINGS,https://www.nba.com/stats/player/1629674/,2021-22
Tyrese Haliburton,#0,G,6-5,185 lbs,"FEB 29, 2000",21,R,Iowa State,,SACRAMENTO KINGS,https://www.nba.com/stats/player/1630169/,2020-21
Jahmi'us Ramsey,#3,G,6-3,190 lbs,"JUN 09, 2001",20,R,Texas Tech,,SACRAMENTO KINGS,https://www.nba.com/stats/player/1630186/,2020-21
De'Aaron Fox,#5,G,6-3,185 lbs,"DEC 20, 1997",23,3,Kentucky,#5 Pick in 2017 Draft,SACRAMENTO KINGS,https://www.nba.com/stats/player/1628368/,2020-21
Kyle Guy,#7,G,6-1,167 lbs,"AUG 11, 1997",23,1,Virginia,,SACRAMENTO KINGS,https://www.nba.com/stats/player/1629657/,2020-21
Maurice Harkless,#8,F-G,6-7,220 lbs,"MAY 11, 1993",28,8,"St. John's, N.Y.",,SACRAMENTO KINGS,https://www.nba.com/stats/player/203090/,2020-21
Terence Davis,#9,G,6-4,201 lbs,"MAY 16, 1997",24,1,Mississippi,,SACRAMENTO KINGS,https://www.nba.com/stats/player/1629056/,2020-21
Justin James,#10,G-F,6-7,190 lbs,"JAN 24, 1997",24,1,Wyoming,,SACRAMENTO KINGS,https://www.nba.com/stats/player/1629713/,2020-21
Robert Woodard II,#13,F,6-6,235 lbs,"SEP 22, 1999",21,R,Mississippi State,,SACRAMENTO KINGS,https://www.nba.com/stats/player/1630218/,2020-21
Damian Jones,#15,C,6-11,245 lbs,"JUN 30, 1995",26,4,Vanderbilt,,SACRAMENTO KINGS,https://www.nba.com/stats/player/1627745/,2020-21
Hassan Whiteside,#20,C,7-0,265 lbs,"JUN 13, 1989",32,8,Marshall,,SACRAMENTO KINGS,https://www.nba.com/stats/player/202355/,2020-21
Richaun Holmes,#22,F,6-10,235 lbs,"OCT 15, 1993",27,5,Bowling Green,,SACRAMENTO KINGS,https://www.nba.com/stats/player/1626158/,2020-21
Louis King,#23,F,6-7,205 lbs,"APR 06, 1999",22,1,Oregon,,SACRAMENTO KINGS,https://www.nba.com/stats/player/1629663/,2020-21
Buddy Hield,#24,G,6-4,220 lbs,"DEC 17, 1992",28,4,Oklahoma,,SACRAMENTO KINGS,https://www.nba.com/stats/player/1627741/,2020-21
Chimezie Metu,#25,F-C,6-9,225 lbs,"MAR 22, 1997",24,2,USC,,SACRAMENTO KINGS,https://www.nba.com/stats/player/1629002/,2020-21
Marvin Bagley III,#35,F,6-11,235 lbs,"MAR 14, 1999",22,2,Duke,,SACRAMENTO KINGS,https://www.nba.com/stats/player/1628963/,2020-21
Harrison Barnes,#40,F,6-8,225 lbs,"MAY 30, 1992",29,8,North Carolina,,SACRAMENTO KINGS,https://www.nba.com/stats/player/203084/,2020-21
Delon Wright,#55,G,6-5,185 lbs,"APR 26, 1992",29,5,Utah,,SACRAMENTO KINGS,https://www.nba.com/stats/player/1626153/,2020-21
Danté Exum,#0,G,6-5,214 lbs,"JUL 13, 1995",29,7,Australian Institute of Sport,Signed on 07/14/23,DALLAS MAVERICKS,https://www.nba.com/stats/player/203957/,2024-25
Jazian Gortman,#00,G,6-2,184 lbs,"MAR 14, 2003",21,R,Overtime Elite,Signed on 07/10/24,DALLAS MAVERICKS,https://www.nba.com/stats/player/1641789/,2024-25
Jaden Hardy,#1,G,6-3,198 lbs,"JUL 05, 2002",22,2,NBA G League Ignite,Draft Rights Traded from SAC on 06/24/22,DALLAS MAVERICKS,https://www.nba.com/stats/player/1630702/,2024-25
Dereck Lively II,#2,C,7-1,230 lbs,"FEB 12, 2004",20,1,Duke,Draft Rights Traded from OKC on 07/06/23,DALLAS MAVERICKS,https://www.nba.com/stats/player/1641726/,2024-25
Quentin Grimes,#5,G,6-4,210 lbs,"MAY 08, 2000",24,3,Houston,Traded from DET on 07/06/24,DALLAS MAVERICKS,https://www.nba.com/stats/player/1629656/,2024-25
Dwight Powell,#7,F-C,6-10,240 lbs,"JUL 20, 1991",33,10,Stanford,Traded from BOS on 12/18/14,DALLAS MAVERICKS,https://www.nba.com/stats/player/203939/,2024-25
Olivier-Maxence Prosper,#8,F,6-7,230 lbs,"JUL 03, 2002",22,1,Marquette,Draft Rights Traded from SAC on 07/06/23,DALLAS MAVERICKS,https://www.nba.com/stats/player/1641765/,2024-25
Brandon Williams,#10,G,6-1,190 lbs,"NOV 22, 1999",25,2,Arizona,Signed on 12/28/23,DALLAS MAVERICKS,https://www.nba.com/stats/player/1630314/,2024-25
Kyrie Irving,#11,G,6-2,195 lbs,"MAR 23, 1992",32,13,Duke,Traded from BKN on 02/06/23,DALLAS MAVERICKS,https://www.nba.com/stats/player/202681/,2024-25
Naji Marshall,#13,F,6-6,220 lbs,"JAN 24, 1998",26,4,Xavier,Signed on 07/06/24,DALLAS MAVERICKS,https://www.nba.com/stats/player/1630230/,2024-25
Kessler Edwards,#20,F,6-7,203 lbs,"AUG 09, 2000",24,3,Pepperdine,Signed on 08/07/24,DALLAS MAVERICKS,https://www.nba.com/stats/player/1630556/,2024-25
Daniel Gafford,#21,F-C,6-10,265 lbs,"OCT 01, 1998",26,5,Arkansas,Traded from WAS on 02/08/24,DALLAS MAVERICKS,https://www.nba.com/stats/player/1629655/,2024-25
P.J. Washington,#25,F,6-6,230 lbs,"AUG 23, 1998",26,5,Kentucky,Traded from CHA on 02/08/24,DALLAS MAVERICKS,https://www.nba.com/stats/player/1629023/,2024-25
Spencer Dinwiddie,#26,G,6-5,215 lbs,"APR 06, 1993",31,10,Colorado,Signed on 08/02/24,DALLAS MAVERICKS,https://www.nba.com/stats/player/203915/,2024-25
Klay Thompson,#31,G,6-5,220 lbs,"FEB 08, 1990",34,11,Washington State,Traded from GSW on 07/06/24,DALLAS MAVERICKS,https://www.nba.com/stats/player/202691/,2024-25
Maxi Kleber,#42,F,6-10,240 lbs,"JAN 29, 1992",32,7,Bayern Munich,Signed on 07/12/17,DALLAS MAVERICKS,https://www.nba.com/stats/player/1628467/,2024-25
Luka Dončić,#77,F-G,6-6,230 lbs,"FEB 28, 1999",25,6,Real Madrid,Draft Rights Traded from ATL on 06/21/18,DALLAS MAVERICKS,https://www.nba.com/stats/player/1629029/,2024-25
Markieff Morris,#88,F,6-9,245 lbs,"SEP 02, 1989",35,13,Kansas,Traded from BKN on 02/06/23,DALLAS MAVERICKS,https://www.nba.com/stats/player/202693/,2024-25
Danté Exum,#0,G,6-5,214 lbs,"JUL 13, 1995",28,6,Australian Institute of Sport,Signed on 07/14/23,DALLAS MAVERICKS,https://www.nba.com/stats/player/203957/,2023-24
Brandon Williams,#00,G,6-1,190 lbs,"NOV 22, 1999",24,1,Arizona,Signed on 12/28/23,DALLAS MAVERICKS,https://www.nba.com/stats/player/1630314/,2023-24
Jaden Hardy,#1,G,6-3,198 lbs,"JUL 05, 2002",21,1,NBA G League Ignite,Draft Rights Traded from SAC on 06/24/22,DALLAS MAVERICKS,https://www.nba.com/stats/player/1630702/,2023-24
Dereck Lively II,#2,C,7-1,230 lbs,"FEB 12, 2004",20,R,Duke,Draft Rights Traded from OKC on 07/06/23,DALLAS MAVERICKS,https://www.nba.com/stats/player/1641726/,2023-24
Dwight Powell,#7,F-C,6-10,240 lbs,"JUL 20, 1991",32,9,Stanford,Traded from BOS on 12/18/14,DALLAS MAVERICKS,https://www.nba.com/stats/player/203939/,2023-24
Josh Green,#8,G,6-5,200 lbs,"NOV 16, 2000",23,3,Arizona,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1630182/,2023-24
A.J. Lawson,#9,G,6-6,179 lbs,"JUL 15, 2000",23,1,South Carolina,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1630639/,2023-24
Tim Hardaway Jr.,#10,G-F,6-5,205 lbs,"MAR 16, 1992",32,10,Michigan,,DALLAS MAVERICKS,https://www.nba.com/stats/player/203501/,2023-24
Kyrie Irving,#11,G,6-2,195 lbs,"MAR 23, 1992",32,12,Duke,Traded from BKN on 02/06/23,DALLAS MAVERICKS,https://www.nba.com/stats/player/202681/,2023-24
Alex Fudge,#17,F,6-8,200 lbs,"MAY 06, 2003",21,R,Florida,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1641788/,2023-24
Olivier-Maxence Prosper,#18,F,6-7,230 lbs,"JUL 03, 2002",21,R,Marquette,Draft Rights Traded from SAC on 07/06/23,DALLAS MAVERICKS,https://www.nba.com/stats/player/1641765/,2023-24
Daniel Gafford,#21,F-C,6-10,234 lbs,"OCT 01, 1998",25,4,Arkansas,Traded from WAS on 02/08/24,DALLAS MAVERICKS,https://www.nba.com/stats/player/1629655/,2023-24
P.J. Washington,#25,F,6-7,230 lbs,"AUG 23, 1998",25,4,Kentucky,Traded from CHA on 02/08/24,DALLAS MAVERICKS,https://www.nba.com/stats/player/1629023/,2023-24
Greg Brown III,#36,F,6-7,206 lbs,"SEP 01, 2001",22,2,Texas,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1630535/,2023-24
Maxi Kleber,#42,F,6-10,240 lbs,"JAN 29, 1992",32,6,Bayern Munich,Signed on 07/12/17,DALLAS MAVERICKS,https://www.nba.com/stats/player/1628467/,2023-24
Derrick Jones Jr.,#55,F,6-6,210 lbs,"FEB 15, 1997",27,7,UNLV,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1627884/,2023-24
Luka Dončić,#77,F-G,6-7,230 lbs,"FEB 28, 1999",25,5,Real Madrid,Draft Rights Traded from ATL on 06/21/18,DALLAS MAVERICKS,https://www.nba.com/stats/player/1629029/,2023-24
Markieff Morris,#88,F,6-9,245 lbs,"SEP 02, 1989",34,12,Kansas,Traded from BKN on 02/06/23,DALLAS MAVERICKS,https://www.nba.com/stats/player/202693/,2023-24
JaVale McGee,#00,C-F,7-0,270 lbs,"JAN 19, 1988",35,14,Nevada,,DALLAS MAVERICKS,https://www.nba.com/stats/player/201580/,2022-23
Justin Holiday,#0,F-G,6-6,180 lbs,"APR 05, 1989",34,9,Washington,,DALLAS MAVERICKS,https://www.nba.com/stats/player/203200/,2022-23
Theo Pinson,#1,G-F,6-7,212 lbs,"NOV 05, 1995",27,4,North Carolina,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1629033/,2022-23
Kyrie Irving,#2,G,6-2,195 lbs,"MAR 23, 1992",31,11,Duke,Traded from BKN on 02/06/23,DALLAS MAVERICKS,https://www.nba.com/stats/player/202681/,2022-23
Jaden Hardy,#3,G,6-3,198 lbs,"JUL 05, 2002",20,R,NBA G League Ignite,Draft Rights Traded from SAC on 06/24/22,DALLAS MAVERICKS,https://www.nba.com/stats/player/1630702/,2022-23
Dwight Powell,#7,F-C,6-10,240 lbs,"JUL 20, 1991",31,8,Stanford,Traded from BOS on 12/18/14,DALLAS MAVERICKS,https://www.nba.com/stats/player/203939/,2022-23
Josh Green,#8,G,6-7,200 lbs,"NOV 16, 2000",22,2,Arizona,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1630182/,2022-23
A.J. Lawson,#9,G,6-6,179 lbs,"JUL 15, 2000",22,R,South Carolina,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1630639/,2022-23
Tim Hardaway Jr.,#11,G-F,6-5,205 lbs,"MAR 16, 1992",31,9,Michigan,,DALLAS MAVERICKS,https://www.nba.com/stats/player/203501/,2022-23
Markieff Morris,#13,F,6-9,245 lbs,"SEP 02, 1989",33,11,Kansas,Traded from BKN on 02/06/23,DALLAS MAVERICKS,https://www.nba.com/stats/player/202693/,2022-23
Frank Ntilikina,#21,G,6-4,200 lbs,"JUL 28, 1998",24,5,Strasbourg IG,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1628373/,2022-23
McKinley Wright IV,#23,G,5-11,192 lbs,"OCT 25, 1998",24,1,Colorado,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1630593/,2022-23
Reggie Bullock Jr.,#25,G-F,6-6,205 lbs,"MAR 16, 1991",32,9,North Carolina,,DALLAS MAVERICKS,https://www.nba.com/stats/player/203493/,2022-23
Christian Wood,#35,F,6-9,214 lbs,"SEP 27, 1995",27,6,UNLV,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1626174/,2022-23
Maxi Kleber,#42,F,6-10,240 lbs,"JAN 29, 1992",31,5,Bayern Munich,Signed on 07/12/17,DALLAS MAVERICKS,https://www.nba.com/stats/player/1628467/,2022-23
Davis Bertans,#44,F,6-10,225 lbs,"NOV 12, 1992",30,6,Baskonia,,DALLAS MAVERICKS,https://www.nba.com/stats/player/202722/,2022-23
Luka Dončić,#77,F-G,6-7,230 lbs,"FEB 28, 1999",24,4,Real Madrid,Draft Rights Traded from ATL on 06/21/18,DALLAS MAVERICKS,https://www.nba.com/stats/player/1629029/,2022-23
Sterling Brown,#0,G-F,6-5,219 lbs,"FEB 10, 1995",27,4,Southern Methodist,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1628425/,2021-22
Theo Pinson,#1,G-F,6-5,212 lbs,"NOV 05, 1995",26,3,North Carolina,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1629033/,2021-22
Trey Burke,#3,G,6-0,185 lbs,"NOV 12, 1992",29,8,Michigan,,DALLAS MAVERICKS,https://www.nba.com/stats/player/203504/,2021-22
Moses Wright,#5,F,6-8,226 lbs,"DEC 23, 1998",23,R,Georgia Tech,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1630589/,2021-22
Dwight Powell,#7,F-C,6-10,240 lbs,"JUL 20, 1991",30,7,Stanford,Traded from BOS on 12/18/14,DALLAS MAVERICKS,https://www.nba.com/stats/player/203939/,2021-22
Josh Green,#8,G,6-5,200 lbs,"NOV 16, 2000",21,1,Arizona,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1630182/,2021-22
Dorian Finney-Smith,#10,F,6-7,220 lbs,"MAY 04, 1993",29,5,Florida,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1627827/,2021-22
Tim Hardaway Jr.,#11,G-F,6-5,205 lbs,"MAR 16, 1992",30,8,Michigan,,DALLAS MAVERICKS,https://www.nba.com/stats/player/203501/,2021-22
Jalen Brunson,#13,G,6-1,190 lbs,"AUG 31, 1996",25,3,Villanova,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1628973/,2021-22
Frank Ntilikina,#21,G,6-4,200 lbs,"JUL 28, 1998",23,4,Strasbourg IG,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1628373/,2021-22
Reggie Bullock Jr.,#25,G-F,6-6,205 lbs,"MAR 16, 1991",31,8,North Carolina,,DALLAS MAVERICKS,https://www.nba.com/stats/player/203493/,2021-22
Spencer Dinwiddie,#26,G,6-6,215 lbs,"APR 06, 1993",29,7,Colorado,Signed on 08/02/24,DALLAS MAVERICKS,https://www.nba.com/stats/player/203915/,2021-22
Marquese Chriss,#35,F,6-9,240 lbs,"JUL 02, 1997",24,5,Washington,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1627737/,2021-22
Maxi Kleber,#42,F,6-10,240 lbs,"JAN 29, 1992",30,4,Bayern Munich,Signed on 07/12/17,DALLAS MAVERICKS,https://www.nba.com/stats/player/1628467/,2021-22
Davis Bertans,#44,F,6-10,225 lbs,"NOV 12, 1992",29,5,Baskonia,,DALLAS MAVERICKS,https://www.nba.com/stats/player/202722/,2021-22
Boban Marjanović,#51,C,7-3,290 lbs,"AUG 15, 1988",33,6,Crvena zvezda,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1626246/,2021-22
Luka Dončić,#77,F-G,6-7,230 lbs,"FEB 28, 1999",23,3,Real Madrid,Draft Rights Traded from ATL on 06/21/18,DALLAS MAVERICKS,https://www.nba.com/stats/player/1629029/,2021-22
Josh Richardson,#0,G,6-5,200 lbs,"SEP 15, 1993",27,5,Tennessee,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1626196/,2020-21
Tyrell Terry,#1,G,6-2,160 lbs,"SEP 28, 2000",20,R,Stanford,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1630179/,2020-21
Tyler Bey,#2,F,6-7,215 lbs,"FEB 10, 1998",23,R,Colorado,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1630189/,2020-21
Trey Burke,#3,G,6-0,185 lbs,"NOV 12, 1992",28,7,Michigan,,DALLAS MAVERICKS,https://www.nba.com/stats/player/203504/,2020-21
Kristaps Porziņģis,#6,F-C,7-3,240 lbs,"AUG 02, 1995",25,4,Cajasol Sevilla,,DALLAS MAVERICKS,https://www.nba.com/stats/player/204001/,2020-21
Dwight Powell,#7,F-C,6-10,240 lbs,"JUL 20, 1991",29,6,Stanford,Traded from BOS on 12/18/14,DALLAS MAVERICKS,https://www.nba.com/stats/player/203939/,2020-21
Josh Green,#8,G,6-5,200 lbs,"NOV 16, 2000",20,R,Arizona,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1630182/,2020-21
Dorian Finney-Smith,#10,F,6-7,220 lbs,"MAY 04, 1993",28,4,Florida,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1627827/,2020-21
Tim Hardaway Jr.,#11,G-F,6-5,205 lbs,"MAR 16, 1992",29,7,Michigan,,DALLAS MAVERICKS,https://www.nba.com/stats/player/203501/,2020-21
Jalen Brunson,#13,G,6-1,190 lbs,"AUG 31, 1996",24,2,Villanova,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1628973/,2020-21
Nate Hinton,#14,G-F,6-5,210 lbs,"JUN 08, 1999",22,R,Houston,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1630207/,2020-21
JJ Redick,#17,G,6-3,200 lbs,"JUN 24, 1984",37,14,Duke,,DALLAS MAVERICKS,https://www.nba.com/stats/player/200755/,2020-21
Willie Cauley-Stein,#33,C,7-0,240 lbs,"AUG 18, 1993",27,5,Kentucky,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1626161/,2020-21
Maxi Kleber,#42,F,6-10,240 lbs,"JAN 29, 1992",29,3,Bayern Munich,Signed on 07/12/17,DALLAS MAVERICKS,https://www.nba.com/stats/player/1628467/,2020-21
Nicolo Melli,#44,F,6-9,236 lbs,"JAN 26, 1991",30,1,Fenerbahce,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1629740/,2020-21
Boban Marjanović,#51,C,7-4,290 lbs,"AUG 15, 1988",32,5,Crvena zvezda,,DALLAS MAVERICKS,https://www.nba.com/stats/player/1626246/,2020-21
Luka Dončić,#77,F-G,6-7,230 lbs,"FEB 28, 1999",22,2,Real Madrid,Draft Rights Traded from ATL on 06/21/18,DALLAS MAVERICKS,https://www.nba.com/stats/player/1629029/,2020-21
Aaron Holiday,#0,G,6-0,185 lbs,"SEP 30, 1996",28,6,UCLA,Signed on 07/10/23,HOUSTON ROCKETS,https://www.nba.com/stats/player/1628988/,2024-25
Amen Thompson,#1,G-F,6-7,200 lbs,"JAN 30, 2003",21,1,Overtime Elite,#4 Pick in 2023 Draft,HOUSTON ROCKETS,https://www.nba.com/stats/player/1641708/,2024-25
Jock Landale,#2,C,6-11,255 lbs,"OCT 25, 1995",29,3,St. Mary's,Signed on 07/06/23,HOUSTON ROCKETS,https://www.nba.com/stats/player/1629111/,2024-25
N'Faly Dante,#3,C,6-11,230 lbs,"OCT 19, 2001",23,R,Oregon,Signed on 07/09/24,HOUSTON ROCKETS,https://www.nba.com/stats/player/1642368/,2024-25
Jalen Green,#4,G,6-4,186 lbs,"FEB 09, 2002",22,3,NBA G League Ignite,#2 Pick in 2021 Draft,HOUSTON ROCKETS,https://www.nba.com/stats/player/1630224/,2024-25
Fred VanVleet,#5,G,6-0,197 lbs,"FEB 25, 1994",30,8,Wichita State,Signed on 07/07/23,HOUSTON ROCKETS,https://www.nba.com/stats/player/1627832/,2024-25
Cam Whitmore,#7,F,6-7,230 lbs,"JUL 08, 2004",20,1,Villanova,#20 Pick in 2023 Draft,HOUSTON ROCKETS,https://www.nba.com/stats/player/1641715/,2024-25
Jae'Sean Tate,#8,F,6-4,230 lbs,"OCT 28, 1995",29,4,Ohio State,Signed on 11/25/20,HOUSTON ROCKETS,https://www.nba.com/stats/player/1630256/,2024-25
Dillon Brooks,#9,G-F,6-6,225 lbs,"JAN 22, 1996",28,7,Oregon,Traded from MEM on 07/08/23,HOUSTON ROCKETS,https://www.nba.com/stats/player/1628415/,2024-25
Jabari Smith Jr.,#10,F,6-10,220 lbs,"MAY 13, 2003",21,2,Auburn,#3 Pick in 2022 Draft,HOUSTON ROCKETS,https://www.nba.com/stats/player/1631095/,2024-25
Steven Adams,#12,C,6-11,265 lbs,"JUL 20, 1993",31,10,Pittsburgh,Traded from MEM on 02/01/24,HOUSTON ROCKETS,https://www.nba.com/stats/player/203500/,2024-25
Reed Sheppard,#15,G,6-2,185 lbs,"JUN 24, 2004",20,R,Kentucky,#3 Pick in 2024 Draft,HOUSTON ROCKETS,https://www.nba.com/stats/player/1642263/,2024-25
Tari Eason,#17,F,6-8,215 lbs,"MAY 10, 2001",23,2,Louisiana State,#17 Pick in 2022 Draft,HOUSTON ROCKETS,https://www.nba.com/stats/player/1631106/,2024-25
Nate Williams,#19,G,6-5,205 lbs,"FEB 12, 1999",25,2,Buffalo,Signed on 08/01/23,HOUSTON ROCKETS,https://www.nba.com/stats/player/1631466/,2024-25
Alperen Sengun,#28,C,6-11,243 lbs,"JUL 25, 2002",22,3,Besiktas,Draft Rights Traded from OKC on 07/30/21,HOUSTON ROCKETS,https://www.nba.com/stats/player/1630578/,2024-25
Jeff Green,#32,F,6-8,235 lbs,"AUG 28, 1986",38,16,Georgetown,Signed on 07/06/23,HOUSTON ROCKETS,https://www.nba.com/stats/player/201145/,2024-25
Jack McVeigh,#58,G-F,6-8,215 lbs,"JUN 27, 1996",28,R,Nebraska-Lincoln,Signed on 07/25/24,HOUSTON ROCKETS,https://www.nba.com/stats/player/1629098/,2024-25
Jermaine Samuels Jr.,#00,F,6-6,230 lbs,"NOV 13, 1998",25,R,Villanova,,HOUSTON ROCKETS,https://www.nba.com/stats/player/1631257/,2023-24
Aaron Holiday,#0,G,6-0,185 lbs,"SEP 30, 1996",27,5,UCLA,Signed on 07/10/23,HOUSTON ROCKETS,https://www.nba.com/stats/player/1628988/,2023-24
Amen Thompson,#1,G-F,6-7,200 lbs,"JAN 30, 2003",21,R,Overtime Elite,#4 Pick in 2023 Draft,HOUSTON ROCKETS,https://www.nba.com/stats/player/1641708/,2023-24
Jock Landale,#2,C,6-11,255 lbs,"OCT 25, 1995",28,2,St. Mary's,Signed on 07/06/23,HOUSTON ROCKETS,https://www.nba.com/stats/player/1629111/,2023-24
Jalen Green,#4,G,6-4,186 lbs,"FEB 09, 2002",22,2,NBA G League Ignite,#2 Pick in 2021 Draft,HOUSTON ROCKETS,https://www.nba.com/stats/player/1630224/,2023-24
Fred VanVleet,#5,G,6-0,197 lbs,"FEB 25, 1994",30,7,Wichita State,Signed on 07/07/23,HOUSTON ROCKETS,https://www.nba.com/stats/player/1627832/,2023-24
Cam Whitmore,#7,F,6-7,230 lbs,"JUL 08, 2004",19,R,Villanova,#20 Pick in 2023 Draft,HOUSTON ROCKETS,https://www.nba.com/stats/player/1641715/,2023-24
Jae'Sean Tate,#8,F,6-4,230 lbs,"OCT 28, 1995",28,3,Ohio State,Signed on 11/25/20,HOUSTON ROCKETS,https://www.nba.com/stats/player/1630256/,2023-24
Dillon Brooks,#9,G-F,6-6,225 lbs,"JAN 22, 1996",28,6,Oregon,Traded from MEM on 07/08/23,HOUSTON ROCKETS,https://www.nba.com/stats/player/1628415/,2023-24
Jabari Smith Jr.,#10,F,6-11,220 lbs,"MAY 13, 2003",21,1,Auburn,#3 Pick in 2022 Draft,HOUSTON ROCKETS,https://www.nba.com/stats/player/1631095/,2023-24
Steven Adams,#12,C,6-11,265 lbs,"JUL 20, 1993",30,10,Pittsburgh,Traded from MEM on 02/01/24,HOUSTON ROCKETS,https://www.nba.com/stats/player/203500/,2023-24
Nate Hinton,#14,G-F,6-5,210 lbs,"JUN 08, 1999",25,2,Houston,,HOUSTON ROCKETS,https://www.nba.com/stats/player/1630207/,2023-24
Tari Eason,#17,F,6-8,215 lbs,"MAY 10, 2001",23,1,Louisiana State,#17 Pick in 2022 Draft,HOUSTON ROCKETS,https://www.nba.com/stats/player/1631106/,2023-24
Nate Williams,#19,G,6-5,205 lbs,"FEB 12, 1999",25,1,Buffalo,Signed on 08/01/23,HOUSTON ROCKETS,https://www.nba.com/stats/player/1631466/,2023-24
Reggie Bullock Jr.,#25,G-F,6-6,205 lbs,"MAR 16, 1991",33,10,North Carolina,,HOUSTON ROCKETS,https://www.nba.com/stats/player/203493/,2023-24
Alperen Sengun,#28,C,6-11,243 lbs,"JUL 25, 2002",21,2,Besiktas,Draft Rights Traded from OKC on 07/30/21,HOUSTON ROCKETS,https://www.nba.com/stats/player/1630578/,2023-24
Jeff Green,#32,F,6-8,235 lbs,"AUG 28, 1986",37,15,Georgetown,Signed on 07/06/23,HOUSTON ROCKETS,https://www.nba.com/stats/player/201145/,2023-24
Boban Marjanović,#51,C,7-4,290 lbs,"AUG 15, 1988",35,8,Crvena zvezda,,HOUSTON ROCKETS,https://www.nba.com/stats/player/1626246/,2023-24
TyTy Washington Jr.,#0,G,6-3,195 lbs,"NOV 15, 2001",21,R,Kentucky,,HOUSTON ROCKETS,https://www.nba.com/stats/player/1631102/,2022-23
Willie Cauley-Stein,#00,C,7-0,240 lbs,"AUG 18, 1993",29,7,Kentucky,,HOUSTON ROCKETS,https://www.nba.com/stats/player/1626161/,2022-23
Jabari Smith Jr.,#1,F,6-11,220 lbs,"MAY 13, 2003",20,R,Auburn,#3 Pick in 2022 Draft,HOUSTON ROCKETS,https://www.nba.com/stats/player/1631095/,2022-23
